Name,NIII 57,NIII 57 err,OI 63,OI 63 err,OIII 88,OIII err,NII 122,NII 122 err,OI 145,OI 145 err,CII 158,CII 158 err,S63,S63err,S122,S122err,FIR,L_{CO},L_{CO}(log),NIII57/FIR,OI63/FIR,OIII88/FIR,NII122/FIR,OI145/FIR,CII158/FIR,Optical_class,Redshift,DL[Mpc],Brightness (log),Luminosity(log)
Arp220,<2.36E-16,NaN,1.00E-15,1.50E-16,<3.17E-16,NaN,2.20E-16,1.80E-17,1.69E-16,1.30E-17,1.22E-15,3.20E-17,124.62,7.4772,114.04,6.8424,5554.202892,8.17E+09,9.91E+00,NaN,1.80E-03,NaN,3.96E-04,3.04E-04,2.20E-03,Sy1,0.04217,184.09,12.26,12.34
Mrk231,2.88E-17,3.50E-18,3.98E-16,4.00E-17,5.50E-17,5.00E-18,4.35E-17,4.00E-18,3.52E-17,4.30E-18,4.55E-16,8.00E-17,34.96,2.0976,20.06,1.2036,1462.919136,8.84E+09,9.95E+00,1.97E-04,2.72E-03,3.76E-04,2.97E-04,2.41E-04,3.11E-03,Sy2,0.03777,164.34,12.13,12.1
Mrk273,1.50E-16,2.00E-17,8.06E-16,5.50E-17,4.33E-16,3.30E-17,1.13E-16,1.20E-17,8.31E-17,1.00E-17,7.68E-16,2.70E-17,21.28,1.2768,14.2,0.852,906.349248,6.11E+09,9.79E+00,1.65E-03,8.89E-03,4.78E-03,1.25E-03,9.17E-04,8.47E-03,Lin,0.02448,105.44,11.28,11.73
UGC5101,9.64E-17,1.50E-17,3.19E-16,6.20E-17,1.38E-16,3.60E-17,1.19E-16,1.20E-17,3.92E-17,1.20E-17,6.88E-16,2.70E-17,13.76,0.8256,17.91,1.0746,655.710216,5.44E+09,9.74E+00,1.47E-03,4.86E-03,2.10E-03,1.81E-03,5.98E-04,1.05E-02,Lin,0.03937,171.51,11.32,11.91
IRAS17208-0014 ,1.18E-16,1.30E-17,9.00E-16,1.00E-16,2.56E-16,2.00E-17,1.12E-16,1.50E-17,7.43E-17,6.00E-18,8.72E-16,2.30E-17,34.79,2.0874,25.45,1.527,1499.596014,1.41E+10,1.01E+01,7.87E-04,6.00E-03,1.71E-03,7.47E-04,4.95E-04,5.81E-03,HII,0.04281,186.97,11.97,12.36
IRAS20551-4250 ,3.81E-17,7.20E-18,4.06E-16,3.60E-17,1.22E-16,6.00E-18,2.33E-17,3.30E-18,4.31E-17,3.00E-18,5.86E-16,1.00E-17,13.44,0.8064,7.57,0.4542,561.271704,6.10E+09,9.79E+00,6.79E-04,7.23E-03,2.17E-03,4.15E-04,7.68E-04,1.04E-02,HII,0.04294,187.56,11.64,11.93
IRAS23128-5919 ,1.41E-16,1.10E-17,6.54E-16,4.40E-17,5.13E-16,1.40E-17,4.40E-17,5.00E-18,5.30E-17,5.40E-18,9.92E-16,1.60E-17,10.1,0.606,6.22,0.3732,426.02826,4.06E+09,9.61E+00,3.31E-03,1.54E-02,1.20E-02,1.03E-03,1.24E-03,2.33E-02,HII,0.0446,195.05,10.22,11.92
IRAS23365+3604 ,NaN,NaN,1.39E-16,1.40E-17,3.37E-17,4.40E-18,2.41E-17,4.60E-18,1.44E-17,1.80E-18,1.99E-16,1.60E-17,7.79,0.4674,5.85,0.351,336.989814,9.61E+09,9.98E+00,NaN,4.12E-03,1.00E-03,7.15E-04,4.27E-04,5.91E-03,Lin,0.06448,286.17,11.65,12.09
IRAS15250+3609 ,NaN,NaN,8.34E-17,1.70E-17,4.06E-17,4.40E-18,1.23E-17,3.40E-18,1.77E-17,2.20E-18,1.15E-16,7.50E-18,6.21,0.3726,4.69,0.2814,268.851786,1.88E+09,9.27E+00,NaN,3.10E-03,1.51E-03,4.58E-04,6.58E-04,4.28E-03,Lin,0.05515,243.1,11.6,11.94
IRAS19542+1110 ,NaN,NaN,<2.35E-16,NaN,NaN,NaN,7.34E-18,2.40E-18,3.31E-18,1.30E-18,4.11E-17,6.00E-18,6.58,0.3948,6.43,0.3858,296.525628,3.30E+09,9.52E+00,NaN,NaN,NaN,2.48E-04,1.12E-04,1.39E-03,Unk,0.06495,288.35,11.75,12.01
