;Name,NIII57,NIII57err,OI63,OI63err,OIII88,OIIIerr,NII122,NII122err,OI145,OI145err,CIII158,CII158err,S63,S63err,S122,S122err
IRAS17208-0014 ,1.18E-16,1.30E-17,9.00E-16,1.00E-16,2.56E-16,2.00E-17,1.12E-16,1.50E-17,7.43E-17,6.00E-18,8.72E-16,2.30E-17,34.79,2.0874,25.45,1.527
IRAS20551-4250 ,3.81E-17,7.20E-18,4.06E-16,3.60E-17,1.22E-16,6.00E-18,2.33E-17,3.30E-18,4.31E-17,3.00E-18,5.86E-16,1.00E-17,13.44,0.8064,7.57,0.4542
IRAS23128-5919 ,1.41E-16,1.10E-17,6.54E-16,4.40E-17,5.13E-16,1.40E-17,4.40E-17,5.00E-18,5.30E-17,5.40E-18,9.92E-16,1.60E-17,10.1,0.606,6.22,0.3732
IRAS23365+3604 ,NaN,NaN,1.39E-16,1.40E-17,3.37E-17,4.40E-18,2.41E-17,4.60E-18,1.44E-17,1.80E-18,1.99E-16,1.60E-17,7.79,0.4674,5.85,0.351
IRAS15250+3609 ,NaN,NaN,8.34E-17,1.70E-17,4.06E-17,4.40E-18,1.23E-17,3.40E-18,1.77E-17,2.20E-18,1.15E-16,7.50E-18,6.21,0.3726,4.69,0.2814
IRAS19542+1110 ,NaN,NaN,<2.35E-16,NaN,NaN,NaN,7.34E-18,2.40E-18,3.31E-18,1.30E-18,4.11E-17,6.00E-18,6.58,0.3948,6.43,0.3858
IRAS22491-1808 ,NaN,NaN,7.90E-17,1.30E-17,NaN,NaN,1.15E-17,2.30E-18,7.16E-18,1.40E-18,1.52E-16,2.80E-18,4.87,0.2922,3.32,0.1992
IRASF05189-2524 ,<3.51E-17,NaN,1.47E-16,9.90E-18,1.77E-17,4.10E-18,2.72E-17,2.30E-18,1.70E-17,1.20E-18,2.04E-16,2.00E-17,12.8,0.768,7.58,0.4548
IRAS07251-0248,NaN,NaN,5.60E-17,1.60E-17,NaN,NaN,1.65E-17,2.10E-18,1.63E-17,NaN,1.18E-16,5.60E-18,7.16,0.4296,4.28,0.2568
IRASF08572+3915,2.39E-17,3.70E-18,1.07E-16,1.70E-17,5.10E-17,2.60E-18,7.39E-18,1.50E-18,1.39E-17,1.50E-18,1.12E-16,3.00E-18,7.02,0.4212,2.96,0.1776
IRAS09022-3615,1.96E-16,1.30E-17,8.01E-16,3.50E-17,7.09E-16,1.80E-17,7.16E-17,6.90E-18,8.79E-17,4.40E-18,8.78E-16,2.20E-17,11.47,0.6882,8.86,0.5316
IRASF10565+2448,7.32E-17,5.10E-18,5.38E-16,9.80E-18,1.19E-16,5.50E-18,8.09E-17,3.00E-18,4.31E-17,1.90E-18,6.52E-16,6.70E-18,15.7,0.942,12.55,0.753
IRASF12112+0305,5.60E-17,1.68E-17,2.26E-16,2.90E-17,1.06E-16,1.40E-17,1.35E-17,4.00E-18,2.84E-17,4.40E-18,3.15E-16,1.10E-17,7.77,0.4662,7.07,0.4242
IRAS13120-5453,1.70E-16,8.50E-18,1.27E-15,6.30E-17,2.77E-16,1.50E-17,2.95E-16,1.40E-17,1.57E-16,8.20E-18,1.41E-15,2.10E-17,45.69,2.7414,40.99,2.4594
IRASF14348-1447,NaN,NaN,1.92E-16,1.90E-17,7.23E-17,5.90E-18,2.20E-17,3.00E-18,2.35E-17,2.10E-18,3.03E-16,5.00E-18,8.08,0.4848,7.12,0.4272
IRASF14378-3651,NaN,NaN,1.69E-16,1.70E-17,NaN,NaN,1.83E-17,1.80E-18,9.97E-18,1.20E-18,1.22E-16,3.10E-18,6.85,0.411,4.86,0.2916
IRASF19297-0406,1.22E-16,,1.61E-16,1.50E-17,4.16E-17,6.30E-18,2.50E-17,3.90E-18,1.52E-17,3.20E-18,2.60E-16,8.20E-18,7.46,0.4476,6.01,0.3606
IRAS15206+3342,NaN,NaN,1.71E-16,5.00E-18,NaN,NaN,NaN,NaN,NaN,NaN,1.79E-16,3.10E-18,1.52,0.0912,1.04,0.0624
